event_id,aircraft_id,ntsb_make,ntsb_model,ntsb_number,year,date,city,state,country,total_fatalities,in_usa,pilot_total,latimes_make,latimes_model,count,latimes_make_and_model
20001206X01271,1,BELL,47G-2,FTW94FA158,1994,05/16/94 00:00:00,TULSA,OK,USA,1.0,True,1.0,BELL,47,8.0,BELL 47
20001211X15148,1,BELL,206B3,FTW92FA189,1992,07/26/92 00:00:00,BLOCK 651A,GM,,1.0,False,1.0,BELL,206,5.0,BELL 206
20080819X01260,1,ROBINSON HELICOPTER,R22 BETA II,SEA08FA185,2008,08/17/08 00:00:00,OLALLA,WA,USA,1.0,True,1.0,ROBINSON,R22,4.0,ROBINSON R22
20160326X80544,1,EUROCOPTER,AS 350 B2,ERA16FA140,2016,03/26/16 00:00:00,ENTERPRISE,AL,USA,4.0,True,1.0,AIRBUS,350,8.0,AIRBUS 350
20090626X94114,1,ENSTROM HELICOPTER CORP,480B,CEN09WA390,2009,05/28/09 00:00:00,DOMINICAN REPUBLIC,,DR,1.0,False,,ENSTROM,480,2.0,ENSTROM 480
20001211X16133,1,SCHWEIZER,269C,CHI93GA046,1992,12/01/92 00:00:00,KANSAS CITY,MO,USA,2.0,True,1.0,SCHWEIZER,269,16.0,SCHWEIZER 269
20001208X05224,1,HUGHES,369D,CHI96FA091,1996,02/19/96 00:00:00,DWEESE,NE,USA,2.0,True,1.0,HUGHES,369,36.0,HUGHES 369
20001208X08839,1,RODDIE,MINI-500,FTW97LA339,1997,09/09/97 00:00:00,IDABEL,OK,USA,1.0,True,1.0,RODDIE,MINI 500,1.0,RODDIE MINI 500
20001211X13573,1,BELL,206B,FTW94LA021,1993,10/29/93 00:00:00,W. CAMERON 240,GM,,1.0,False,1.0,BELL,206,112.0,BELL 206
20001213X28793,1,BELL,206B,DEN89FA175,1989,07/18/89 00:00:00,DUCHESNE,UT,USA,3.0,True,1.0,BELL,206,112.0,BELL 206
20001211X16154,1,HILLER,FH-1100,FTW93FA051,1992,12/11/92 00:00:00,FORNEY,TX,USA,1.0,True,1.0,FAIRCHILD/HILLER,FH-1100,4.0,FAIRCHILD/HILLER FH-1100
20020920X05188,1,GRAHAM,MINI-500,NYC02LA184,2002,09/07/02 00:00:00,RENFREW,PA,USA,1.0,True,1.0,GRAHAM,MINI-500,1.0,GRAHAM MINI-500
20001212X21753,1,ROBINSON,R22 BETA,LAX00FA306,2000,08/18/00 00:00:00,WATSONVILLE,CA,USA,2.0,True,2.0,ROBINSON,R22,22.0,ROBINSON R22
20140630X02437,1,ROBINSON,R66,ERA14RA318,2014,06/28/14 00:00:00,KRASNODAR KRAI,,RS,4.0,False,1.0,ROBINSON,R66,10.0,ROBINSON R66
20030227X00265,1,BELL,407,FTW03LA101,2003,02/22/03 00:00:00,HIGH ISLAND 443,GM,USA,1.0,True,1.0,BELL,407,32.0,BELL 407
20001213X33753,1,BELL,47G2,ATL86FEI07,1986,06/25/86 00:00:00,LISBON,OH,USA,1.0,True,1.0,BELL,47,3.0,BELL 47
20080409X00443,1,BELL,412EP,NYC08WA131,2008,03/11/08 00:00:00,SANTA CRUZ,,PE,10.0,False,1.0,BELL,412,4.0,BELL 412
20180503X00840,1,AGUSTA BELL,AB206B,ERA18WA139,2018,05/02/18 00:00:00,CACAO,FN,FG,2.0,False,1.0,BELL,206,1.0,BELL 206
20180314X13209,2,EUROCOPTER,EC135,CEN18WA120,2018,01/23/18 00:00:00,OBERHAUSEN-RHEINHAUSEN,,GE,4.0,False,,AIRBUS,135,4.0,AIRBUS 135
20140103X70727,1,BELL,206,WPR14WA085,2013,12/30/13 00:00:00,BERASTAGI,,ID,1.0,False,,BELL,206,32.0,BELL 206
20020611X00852,1,SCHWEIZER,333,WAS02WA042,2002,01/22/02 00:00:00,GABORONE,,BC,1.0,False,,SCHWEIZER,333,1.0,SCHWEIZER 333
20001208X06541,1,BELL/TSIRAH,209AH-1FT,LAX96FA310,1996,08/20/96 00:00:00,PALMDALE,CA,USA,1.0,True,1.0,BELL,209,1.0,BELL 209
20160711X20144,1,BELL,429,ERA16LA253,2016,07/11/16 00:00:00,GEORGETOWN,DE,USA,1.0,True,1.0,BELL,429,2.0,BELL 429
20001212X18521,1,BELL,206B,SEA92FA016,1991,11/08/91 00:00:00,SALT LAKE CITY,UT,USA,1.0,True,1.0,BELL,206,112.0,BELL 206
20010110X00080,1,ROBINSON,R-44A,NYC01FA053,2000,12/04/00 00:00:00,SANDGAP,KY,USA,3.0,True,1.0,ROBINSON,R44,1.0,ROBINSON R44
20081001X14522,1,AEROSPATIALE,SA365N-1 D,MIA08MA203,2008,09/27/08 00:00:00,DISTRICT HEIGHTS,MD,USA,4.0,True,1.0,AIRBUS,365,1.0,AIRBUS 365
20001207X03984,1,MCDONNELL DOUGLAS,369D,LAX95GA264,1995,07/21/95 00:00:00,HAUULA,HI,USA,3.0,True,1.0,MCDONNELL DOUGLAS,369,7.0,MCDONNELL DOUGLAS 369
20160705X35534,1,BELL HELICOPTER,407,ERA16WA240,2016,06/26/16 00:00:00,JUNDIAÍ,FN,BR,5.0,False,,BELL,407,3.0,BELL 407
20111202X30755,1,ROBINSON,R22,WPR11WA482,2011,05/09/11 00:00:00,"JULIA CREEK, AUSTRALIA",,AS,1.0,False,,ROBINSON,R22,45.0,ROBINSON R22
20010726X01520,1,WORLD HELICOPTERS,47D1,CHI01FA231,2001,07/22/01 00:00:00,BALLARD,MO,USA,2.0,True,1.0,WORLD HELICOPTERS,47,1.0,WORLD HELICOPTERS 47
20001212X24367,1,BELL,204B,SEA90GA180,1990,09/11/90 00:00:00,KELLER,WA,USA,1.0,True,1.0,BELL,204,4.0,BELL 204
20101015X73141,1,BELL,206B,CEN11GA020,2010,10/15/10 00:00:00,CLARKSON VALLEY,MO,USA,1.0,True,1.0,BELL,206,112.0,BELL 206
20180423X81347,1,BELL,206L-4,ERA18WA133,2018,04/15/18 00:00:00,VEREDA PLATEADO,FN,CO,1.0,False,,BELL,206,5.0,BELL 206
20001211X10871,1,AUSTIN,REVOLUTION MINI 500,IAD98FA092,1998,08/11/98 00:00:00,NORTHAMPTON,PA,USA,1.0,True,1.0,AUSTIN,MINI 500,1.0,AUSTIN MINI 500
20001212X22153,1,AEROSPATIALE,AS-350BA,FTW01FA017,2000,10/28/00 00:00:00,E. CAMERON 200,GM,USA,1.0,True,1.0,AIRBUS,350,1.0,AIRBUS 350
20170703X75223,1,MD HELICOPTER,500,ERA17WA224,2017,06/23/17 00:00:00,SCHINIAS MARATHONAS,FN,GR,2.0,False,,MCDONNELL DOUGLAS,500,1.0,MCDONNELL DOUGLAS 500
20080715X01051,1,BELL,407,DEN08MA116,2008,06/29/08 00:00:00,FLAGSTAFF,AZ,USA,7.0,True,1.0,BELL,407,32.0,BELL 407
20080715X01051,2,BELL,407,DEN08MA116,2008,06/29/08 00:00:00,FLAGSTAFF,AZ,USA,7.0,True,1.0,BELL,407,32.0,BELL 407
20100725X05225,1,BELL,47G-4A,CEN10LA431,2010,07/24/10 00:00:00,ROCHESTER,MN,USA,1.0,True,1.0,BELL,47,4.0,BELL 47
20080128X00108,1,ROBINSON,R44,MIA08FA044,2008,01/22/08 00:00:00,OCHOPEE,FL,USA,2.0,True,1.0,ROBINSON,R44,75.0,ROBINSON R44
20001208X07417,1,MCDONNELL DOUGLAS,369D,LAX97GA105,1997,02/16/97 00:00:00,SANTEE,CA,USA,1.0,True,1.0,MCDONNELL DOUGLAS,369,7.0,MCDONNELL DOUGLAS 369
20001208X06966,1,BOEING VERTOL,BV-107 II,SEA97FA001,1996,10/04/96 00:00:00,CANBY,OR,USA,3.0,True,1.0,BOEING,107,2.0,BOEING 107
20031001X01636,1,BELL,206L-3,FTW03WA215,2003,09/01/03 00:00:00,SOLOLA,,GT,4.0,False,1.0,BELL,206,20.0,BELL 206
20090724X05537,1,ROBINSON HELICOPTER,R44,ERA09FA417,2009,07/23/09 00:00:00,BOONSBORO,MD,USA,4.0,True,1.0,ROBINSON,R44,9.0,ROBINSON R44
20081003X16305,1,ROBINSON,R-44,DCA08WA091,2008,04/26/08 00:00:00,GERMISTON,,SF,2.0,False,1.0,ROBINSON,R44,22.0,ROBINSON R44
20020917X04545,1,SCORPION,133,DEN83FTE04,1982,11/22/82 00:00:00,ENGLEWOOD,CO,USA,2.0,True,1.0,SCORPION,133,1.0,SCORPION 133
20180410X73226,1,ROBINSON,R44,ERA18WA123,2018,04/01/18 00:00:00,ROSARIO,FN,BR,4.0,False,,ROBINSON,R44,75.0,ROBINSON R44
20110722X01242,1,BELL,206 - L4,CEN11WA493,2011,07/08/11 00:00:00,TECPAN,,GT,2.0,False,,BELL,206,2.0,BELL 206
20111001X63448,1,ROBINSON HELICOPTER CO,R66,CEN12FA001,2011,10/01/11 00:00:00,PHILIP,SD,USA,1.0,True,1.0,ROBINSON,R66,2.0,ROBINSON R66
